image,question,answer,split
butterfly_001.jpg,Có bao nhiêu con bướm trong ảnh?,Có rất nhiều con bướm đang bay.,train
butterfly_001.jpg,Những con bướm này có màu gì?,Chúng có màu xanh dương chủ đạo.,train
butterfly_001.jpg,Nền của bức ảnh này màu gì?,Nền của bức ảnh có màu trắng.,train
butterfly_001.jpg,Có phải bướm đang đậu trên hoa không?,"Không, những con bướm đang bay lơ lửng.",train
butterfly_002.jpg,Con bướm đang đậu ở đâu?,Con bướm đang đậu trên một bông hoa.,train
butterfly_002.jpg,Cánh bướm có những màu nào?,Cánh bướm có màu cam và đen.,train
butterfly_002.jpg,Có bao nhiêu bông hoa vàng trong ảnh?,Có một bông hoa vàng ở chính giữa.,train
butterfly_002.jpg,Bông hoa có màu tím không?,"Không, bông hoa có màu vàng rực rỡ.",train
butterfly_003.jpg,Con bướm đang làm gì?,Con bướm đang đậu trên bông hoa tím.,train
butterfly_003.jpg,Cánh của con bướm này màu gì?,Cánh của nó có màu cam đậm.,train
butterfly_003.jpg,Bông hoa trong ảnh có màu gì?,Bông hoa có màu tím nhạt.,train
butterfly_003.jpg,Có phải con bướm có màu xanh không?,"Không, con bướm có màu cam nâu.",train
butterfly_004.jpg,Con bướm này có màu sắc như thế nào?,Nó có màu cam với các đốm đen.,train
butterfly_004.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên một nụ hoa.,train
butterfly_004.jpg,Nền phía sau con bướm là gì?,Nền phía sau là những lá cỏ xanh.,train
butterfly_004.jpg,Cánh bướm có bị rách không?,"Không, cánh của con bướm vẫn còn nguyên vẹn.",train
butterfly_005.jpg,Con bướm có màu sắc chủ đạo là gì?,Màu chủ đạo của nó là xanh lá cây.,train
butterfly_005.jpg,Hoa văn trên cánh bướm màu gì?,Hoa văn trên cánh có màu đen.,train
butterfly_005.jpg,Con bướm đang đậu trên bộ phận nào của cây?,Con bướm đang đậu trên một chiếc lá.,train
butterfly_005.jpg,Có phải con bướm đang bay không?,"Không, con bướm đang đậu yên trên lá.",train
butterfly_006.jpg,Con bướm này có đặc điểm gì nổi bật?,Nó có đôi cánh lớn màu đen trắng.,train
butterfly_006.jpg,Có màu nào khác trên cánh bướm không?,Có các đốm màu đỏ và cam.,train
butterfly_006.jpg,Con bướm đang ở đâu?,Nó đang đậu trên các cành cây.,train
butterfly_006.jpg,Con bướm có đậu trên hoa không?,"Không, nó đang bám vào cành cây khô.",train
butterfly_007.jpg,Đây là loài vật gì?,Đây là một con bướm xanh.,train
butterfly_007.jpg,Cánh bướm có viền màu gì?,Cánh bướm có viền màu đen và trắng.,train
butterfly_007.jpg,Dưới con bướm có gì?,Dưới con bướm là hình ảnh phản chiếu.,train
butterfly_007.jpg,Có phải con bướm đang đậu trên lá không?,"Không, nó đang ở trên bề mặt phẳng.",train
butterfly_008.jpg,Con bướm có màu xanh gì?,Nó có một dải màu xanh ngọc.,train
butterfly_008.jpg,Màu nền của cánh bướm là màu gì?,Cánh bướm có nền màu đen tuyền.,train
butterfly_008.jpg,Con bướm đang đậu trên đâu?,Nó đang đậu trên những chiếc lá xanh.,train
butterfly_008.jpg,Con bướm có mấy cánh?,"Có hai cánh lớn đang xòe ra.",train
butterfly_009.jpg,Con bướm đang đậu trên loại thực vật nào?,Con bướm đang đậu trên bông hoa đỏ.,train
butterfly_009.jpg,Cánh bướm có họa tiết gì?,Cánh có họa tiết đốm đen trên nền trắng.,train
butterfly_009.jpg,Bầu trời phía sau có màu gì?,Phía sau là một màu xanh dương.,train
butterfly_009.jpg,Con bướm có màu vàng không?,"Có, một phần cánh có sắc vàng nhạt.",train
butterfly_010.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên những chiếc lá xanh.,train
butterfly_010.jpg,Cánh bướm có những màu sắc nào?,Cánh có màu vàng đen và xanh dương.,train
butterfly_010.jpg,Phần dưới cánh bướm có màu gì?,Phần dưới có các đốm màu xanh dương.,train
butterfly_010.jpg,Con bướm có đang xòe cánh không?,"Có, con bướm đang xòe rộng đôi cánh.",train
butterfly_011.jpg,Con bướm đang đậu trên bề mặt gì?,Con bướm đang đậu trên một bức tường gạch.,train
butterfly_011.jpg,Cánh bướm có các đốm hình gì?,Cánh bướm có các đốm lớn hình mắt người.,train
butterfly_011.jpg,Có bao nhiêu con bướm trong ảnh?,Có duy nhất một con bướm trong ảnh này.,train
butterfly_011.jpg,Cánh bướm có màu xanh lá cây không?,"Không, cánh bướm có màu cam đen và trắng.",train
butterfly_012.jpg,Con bướm trong ảnh có màu sắc chủ đạo gì?,Màu sắc chủ đạo của con bướm là vàng.,train
butterfly_012.jpg,Có bao nhiêu con bướm xuất hiện trong ảnh?,Có hai con bướm đang đậu dưới đất.,train
butterfly_012.jpg,Họa tiết trên cánh bướm có màu gì?,Họa tiết trên cánh bướm có màu đen đậm.,train
butterfly_012.jpg,Có phải con bướm đang đậu trên hoa không?,"Không, con bướm đang đậu trên mặt đất khô.",train
butterfly_013.jpg,Đây là loại tranh vẽ hay ảnh chụp?,Đây là một bức hình vẽ về con bướm.,train
butterfly_013.jpg,Cánh của con bướm có màu gì?,Cánh bướm có màu cam và đen trắng.,train
butterfly_013.jpg,Nền của bức ảnh này màu gì?,Nền của bức ảnh hoàn toàn là màu trắng.,train
butterfly_013.jpg,Con bướm có bốn cánh không?,"Có, con bướm có bốn cánh đối xứng nhau.",train
butterfly_014.jpg,Có bao nhiêu mô hình bướm trong ảnh?,Có tất cả bảy mô hình bướm đầy màu sắc.,train
butterfly_014.jpg,Các mô hình bướm nằm trên bề mặt nào?,Chúng nằm trên một chiếc bàn gỗ nâu.,train
butterfly_014.jpg,Phía sau các con bướm có vật gì?,Phía sau là những tấm thiệp màu xanh.,train
butterfly_014.jpg,Có phải tất cả bướm đều cùng màu không?,"Không, mỗi con bướm đều có màu sắc riêng.",train
butterfly_015.jpg,Con bướm đang đậu trên cái gì?,Con bướm đang đậu trên một chiếc lá xanh.,train
butterfly_015.jpg,Cánh bướm có màu sắc như thế nào?,Cánh bướm có màu xanh lục và nâu đen.,train
butterfly_015.jpg,Đầu của con bướm hướng về phía nào?,Đầu của con bướm đang hướng lên phía trên.,train
butterfly_015.jpg,Con bướm có hai râu dài không?,"Có, con bướm có hai chiếc râu rất dài.",train
butterfly_016.jpg,Con bướm đang làm gì trong ảnh?,Con bướm đang hút mật trên bông hoa.,train
butterfly_016.jpg,Cánh bướm có viền màu gì?,Cánh bướm có viền màu đen và đốm trắng.,train
butterfly_016.jpg,Cây hoa trong ảnh có đặc điểm gì?,Cây hoa có nhiều gai nhọn xung quanh.,train
butterfly_016.jpg,Hoa trong ảnh có màu xanh dương không?,"Không, hoa trong ảnh có màu vàng nhạt.",train
butterfly_017.jpg,Con bướm đang ở vị trí nào trong ảnh?,Con bướm đang đậu trên một tảng đá.,train
butterfly_017.jpg,Màu sắc của con bướm này như thế nào?,Nó có màu đen với một dải trắng.,train
butterfly_017.jpg,Xung quanh con bướm có gì?,Xung quanh là đất đá và một ít cỏ.,train
butterfly_017.jpg,Cánh bướm có đang mở rộng không?,"Không, con bướm đang khép cánh lại khi đậu.",train
butterfly_018.jpg,Con bướm đang đậu trên vật thể gì?,Nó đang đậu trên một bông hoa khô.,train
butterfly_018.jpg,Cánh bướm có họa tiết như thế nào?,Cánh có nhiều đường gân và đốm đen.,train
butterfly_018.jpg,Nền phía sau con bướm có đặc điểm gì?,Nền phía sau là một cánh đồng mờ.,train
butterfly_018.jpg,Con bướm có màu vàng chanh không?,"Có, cánh bướm có màu vàng chanh chủ đạo.",train
butterfly_019.jpg,Con bướm đang đậu trên loại hoa nào?,Con bướm đang đậu trên một bông hoa tím.,train
