image,question,chosen,rejected
butterfly_001.jpg,Có bao nhiêu con bướm trong ảnh?,Có rất nhiều con bướm đang bay.,Chỉ có duy nhất một con bướm đậu.
butterfly_002.jpg,Bông hoa có màu tím không?,"Không, bông hoa có màu vàng rực rỡ.","Có, bông hoa có màu tím rất đậm."
butterfly_003.jpg,Có phải con bướm có màu xanh không?,"Không, con bướm có màu cam nâu.","Đúng, con bướm có màu xanh da trời."
butterfly_004.jpg,Con bướm đang đậu trên cái gì?,Nó đang đậu trên một nụ hoa.,Nó đang đậu trên một chiếc lá xanh.
butterfly_005.jpg,Con bướm có màu sắc chủ đạo là gì?,Màu chủ đạo của nó là xanh lá cây.,Màu chủ đạo của nó là đỏ rực rỡ.
butterfly_006.jpg,Có màu nào khác trên cánh bướm không?,Có các đốm màu đỏ và cam.,Chỉ có các đường vằn màu đen tuyền.
butterfly_007.jpg,Đây là loài vật gì?,Đây là một con bướm xanh.,Đây là một con ong mật vàng.
butterfly_008.jpg,Màu nền của cánh bướm là màu gì?,Cánh bướm có nền màu đen tuyền.,Cánh bướm có nền màu trắng tinh.
butterfly_009.jpg,Con bướm có màu vàng không?,"Có, một phần cánh có sắc vàng nhạt.","Không, toàn bộ cánh bướm màu xám."
butterfly_010.jpg,Phần dưới cánh bướm có màu gì?,Phần dưới có các đốm màu xanh dương.,Phần dưới có các sọc ngang màu nâu.
cat_001.jpg,Đây là con vật gì?,Đây là một con mèo.,Đây là một con chó con.
cat_002.jpg,Có phải con mèo đang ở ngoài trời không?,"Có, con mèo đang ở không gian ngoài trời.","Không, con mèo đang ở trong phòng ngủ."
cat_003.jpg,Các con mèo đang đứng hay nằm?,Các con mèo đang nằm trên thảm.,Các con mèo đang đứng trên ghế gỗ.
cat_004.jpg,Trong ảnh có mấy con mèo?,Trong ảnh có hai con mèo.,Trong ảnh có ba con mèo.
cat_005.jpg,Phần lông quanh cổ mèo có màu gì?,Phần lông quanh cổ mèo có màu trắng.,Phần lông quanh cổ mèo có màu đen.
cat_006.jpg,Mắt của con mèo có màu gì?,Mắt của con mèo có màu vàng xanh.,Mắt của con mèo có màu nâu tối.
cat_007.jpg,Có con mèo nào đang chạy không?,"Không, các con mèo đều đang ngồi yên.","Có, một con mèo đang chạy rất nhanh."
cat_008.jpg,Mắt mèo có mở không?,"Có, con mèo đang mở mắt rất to.","Không, con mèo đang nhắm mắt ngủ."
cat_009.jpg,Ai đang giữ con mèo?,Một bàn tay người đang giữ con mèo.,Một chiếc vòng cổ đang giữ con mèo.
cat_010.jpg,Bốn bàn chân của con mèo có màu gì?,Bốn bàn chân của con mèo có màu trắng.,Bốn bàn chân của con mèo có màu xám.
cow_001.jpg,Có bao nhiêu con bò trong ảnh?,Có hai con bò trong ảnh.,Có bốn con bò trong ảnh.
cow_002.jpg,Có mấy con bò xuất hiện rõ ràng?,Có một con bò xuất hiện rõ.,Có ba con bò xuất hiện rõ.
